Estado,Id de contacto,Id. de la oportunidad,Financiador: Nombre de la cuenta,Etapa,Etapa del Cr_dito,Situacion del Cliente,Potencia Instalada (W),Precio de Contado (Venta),Importe,Anticipo,Monto Mensualidad,Frecuencia Programada de Pagos (en dias),Numero de Pagos Programados,Number of Payments,Saldo Pagado,Saldo Total,Saldo Atrasado,Plazo del Credito (meses),Meses Transcurridos,Cantidad de Pagos realizados,% Pagado,Porcentaje de Pago a la Fecha,Rating Interno Credito,Nombre de la cuenta: Nombre de la cuenta
Campeche,0031600002QkBty,0061600000nMF1P,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,150,17500,17500,17500,0,30,1,2,17500,0,0,1,35,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002WD4Y3,0061600000qiaiR,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,25,6050,6050,6050,0,30,1,2,6050,0,0,1,29,1,100,100,3,Escarcega ILUCentro
Campeche,0031M00002gQ2qK,0061M00000vt6dI,ILUMEXICO Financiador,Vendido,Pagado,Deudor PAR 60,0,2620,2620,2620,0,15,1,2,2600,20,20,0.5,18,1,99.24,99.24,3,Escarcega ILUCentro
Campeche,0031M00002gQ34v,0061M00000vt6mh,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,0,5450,5450,5450,0,30,1,2,5450,0,0,1,17,1,100,100,3,Escarcega ILUCentro
Campeche,0031M00002gQ34v,0061M00000vt6iL,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,0,4800,4800,4800,0,30,1,2,4800,0,0,1,17,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002WBTdo,0061M00000vtXGq,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,225,15600,15600,15600,0,30,1,2,15600,0,0,1,17,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002WBTdo,0061600000tVaXG,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,50,7430,7430,7430,0,30,1,2,7430,0,0,1,23,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002WBTdo,0061600000qiII4,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,0,1300,1300,1300,0,30,1,2,1300,0,0,1,29,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002WBTdo,0061600000qi8eo,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,15,10350,10350,8000,1175,30,2,3,10350,0,0,2,29,2,100,100,3,Escarcega ILUCentro
Campeche,0031600002WCZk0,0061600000qiSSh,ILUMEXICO Financiador,Vendido,Moroso Perdido,Deudor PAR 60,25,9000,9000,4000,1666.67,30,3,4,5500,3500,3500,3,29,2,61.11,61.11,0,Escarcega ILUCentro
Campeche,0031600002WCRAJ,0061600000qiLr3,ILUMEXICO Financiador,Cancelado,Moroso Perdido,Deudor PAR 60,100,3450,3450,500,983.33,30,3,4,1000,2450,2450,3,29,2,28.99,28.99,0,Escarcega ILUCentro
Campeche,0031600002WBkhx,0061600000rxNoD,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,0,1500,1500,1500,0,30,1,2,1500,0,0,1,25,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002WCRTG,0061600000qiLu7,ILUMEXICO Financiador,Cancelado,Moroso Perdido,Deudor PAR 60,100,11600,11600,3000,2866.67,30,3,4,3000,8600,8600,3,29,1,25.86,25.86,0,Escarcega ILUCentro
Campeche,0031600002ODtry,0061600000mgVdk,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,0,2800,2800,2800,0,30,1,2,2800,0,0,1,37,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002OAwjH,0061600000pNkxi,ILUMEXICO Financiador,Vendido,Moroso Perdido,Deudor PAR 60,100,11500,11500,11500,0,30,1,2,9000,2500,2500,1,32,1,78.26,78.26,0,Escarcega ILUCentro
Campeche,0031600002OAwjH,0061600000nj21I,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,0,650,650,650,0,30,1,2,650,0,0,1,36,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002OAwjH,0061600000nNkqt,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,0,650,650,650,0,30,1,2,650,0,0,1,35,1,100,100,1,Escarcega ILUCentro
Campeche,0031600002OAwjH,0061600000n8pgV,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,0,650,650,650,0,30,1,2,650,0,0,1,37,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002OAwjH,0061600000mfpfZ,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,15,1550,1550,1550,0,30,1,2,1550,0,0,1,38,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002aj4O4,0061600000rysOu,ILUMEXICO Financiador,Vendido,Moroso Perdido,Deudor PAR 60,210,5590,5590,750,1613.33,30,3,5,1000,4590,4590,3,24,2,17.89,17.89,0,Escarcega ILUCentro
Campeche,0031600002ODvsZ,0061600000mgWAG,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,15,3250,3250,3250,0,30,1,2,3250,0,0,1,37,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002OTDpn,0061600000mhCb0,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,200,22500,22500,22500,0,30,1,2,22500,0,0,1,37,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002Nd9S9,0061600000meolI,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,15,2275,2275,2275,0,30,1,2,2275,0,0,1,38,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002OSeBd,0061600000mh1qn,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,0,1950,1950,1950,0,30,1,2,1950,0,0,1,37,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002NbdZy,0061600000mePf9,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,25,8100,8100,8100,0,30,1,2,8100,0,0,1,38,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002fiKcC,0061600000viV6m,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,0,5700,5700,5700,0,30,1,2,5700,0,0,1,18,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002NvmWk,0061600000mfpnJ,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,0,200,200,200,0,30,1,2,200,0,0,1,38,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002NvmWk,0061600000mfBtA,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,0,1300,1300,1300,0,30,1,2,1300,0,0,1,38,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002ODh5Q,0061600000mgSff,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,200,22500,22500,22500,0,30,1,2,22500,0,0,1,37,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002OS4Hp,0061600000mgtJm,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,0,1356,1356,1356,0,30,1,2,1356,0,0,1,37,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002ODv3g,0061600000mgVxH,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,0,1910,1910,1910,0,30,1,2,1910,0,0,1,37,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002ODh5z,0061600000mgSfu,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,200,22500,22500,22500,0,30,1,2,22500,0,0,1,37,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002OF57F,0061600000mgmTb,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,0,1300,1300,1300,0,30,1,2,1300,0,0,1,37,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002YbBaF,0061600000rv8A2,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,25,9650,9650,9650,0,30,1,2,9650,0,0,1,27,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002ZeGkw,0061600000rxPLX,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,100,14000,14000,5000,3000,30,3,4,14000,0,0,3,25,4,100,100,3,Escarcega ILUCentro
Campeche,0031600002ZeIcp,0061600000rxPuc,ILUMEXICO Financiador,Cancelado,Moroso Perdido,Moroso,50,17140,17140,2500,813.33,30,18,19,3100,14040,14040,18,25,2,18.09,18.09,0,Escarcega ILUCentro
Campeche,0031600002Yf70E,0061600000rwemq,ILUMEXICO Financiador,Vendido,Moroso Perdido,Deudor PAR 60,25,10367,10367,3500,763,30,9,10,8250,2117,2117,9,26,8,79.58,79.58,0,Escarcega ILUCentro
Campeche,0031600002ajsww,0061600000tTZ4X,ILUMEXICO Financiador,Vendido,Moroso Perdido,Deudor PAR 60,0,12300,12300,3125,3058.33,30,3,4,3125,9175,9175,3,24,1,25.41,25.41,0,Escarcega ILUCentro
Campeche,0031600002Zfme2,0061600000v7ASE,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,0,1400,1400,1400,0,15,1,2,1400,0,0,0.5,20,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002Zfme2,0061600000tW8vB,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,0,2040,2040,2040,0,30,1,2,2040,0,0,1,22,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002Zfme2,0061600000tTYOj,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,0,540,540,540,0,30,1,2,540,0,0,1,24,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002Zfme2,0061600000rxvDd,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,150,3650,3650,2000,825,30,2,3,3650,0,0,2,25,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002ZfmeR,0061M00000wuCLk,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,0,1080,1080,1080,0,30,1,2,1080,0,0,1,13,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002ZfmeR,0061M00000wt3u8,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,0,900,900,900,0,30,1,2,900,0,0,1,14,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002ZfmeR,0061M00000wTuE2,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,70,5260,5260,5260,0,30,1,2,5260,0,0,1,11,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002ZfmeR,0061600000tVtWd,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,50,2450,2450,2450,0,30,1,2,2450,0,0,1,22,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002ZfmeR,0061600000rynsQ,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,0,1400,1400,1400,0,30,1,2,1400,0,0,1,24,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002ZfmeR,0061600000rxvDi,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,100,5510,5510,5510,0,30,1,2,5510,0,0,1,24,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002aic5y,0061M00000wt66u,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,0,3100,3100,3100,0,30,1,2,3100,0,0,1,14,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002aic5y,0061600000rykVR,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,300,33718,33718,16860,5619.33,30,3,4,33718,0,0,3,24,4,100,100,3,Escarcega ILUCentro
Campeche,0031600002NPnHF,0061600000mEKR8,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,0,2750,2750,2750,0,30,1,2,2750,0,0,1,38,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002NN95m,0061600000meYq8,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,0,650,650,650,0,30,1,2,650,0,0,1,38,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002NN95m,0061600000mDem7,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,0,2150,2150,2150,0,30,1,2,2150,0,0,1,39,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002N8TDS,0061600000mD43x,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,0,1600,1600,1600,0,30,1,2,1600,0,0,1,39,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002NOcU6,0061600000tW8sC,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,0,1100,1100,1100,0,30,1,2,1100,0,0,1,22,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002NOcU6,0061600000mE0EV,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,25,3100,3100,3100,0,30,1,2,3100,0,0,1,39,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002NP4zH,0061600000mE7zt,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,50,11000,11000,11000,0,30,1,2,11000,0,0,1,38,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002NaaAe,0061600000pemJj,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,200,17000,17000,14200,933.33,30,3,5,17000,0,0,3,31,2,100,100,3,Escarcega ILUCentro
Campeche,0031600002NaaAe,0061600000me7ih,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,25,3250,3250,3250,0,30,1,2,3250,0,0,1,38,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002QlC6H,0061600000qjTkD,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,0,1300,1300,1300,0,30,1,2,1300,0,0,1,28,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002M7Sb0,0061600000qiBvG,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,0,3650,3650,3650,0,30,1,2,3650,0,0,1,30,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002MsBHJ,0061M00000wtCFd,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,0,1800,1800,1800,0,30,1,2,1800,0,0,1,14,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002LcEQu,0061M00000zevd3,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,0,850,850,850,0,30,1,2,850,0,0,1,5,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002LcEQu,0061M00000zevcy,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,0,1190,1190,1190,0,30,1,2,1190,0,0,1,5,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002LcEQu,0061M00000ydDDo,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,0,510,510,510,0,30,1,2,510,0,0,1,9,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002LIrIE,0061600000rwicN,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,0,2200,2200,2200,0,30,1,2,2200,0,0,1,26,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002LIrIE,0061600000Zepx1,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,0,6685,6685,6685,0,30,1,3,6685,0,0,1,30,2,100,100,1,Escarcega ILUCentro
Campeche,0031600002LIrIE,0061600000ZejDi,ILUMEXICO Financiador,Vendido,Moroso Perdido,Deudor PAR 60,0,950,950,950,0,30,1,3,878.99,71.01,71.01,1,31,2,92.53,92.53,0,Escarcega ILUCentro
Campeche,0031600002M4wIh,0061600000pfJkQ,ILUMEXICO Financiador,Vendido,Moroso Perdido,Deudor PAR 60,150,13175,13175,13175,0,30,1,6,10925,2250,2250,1,31,3,82.92,82.92,0,Escarcega ILUCentro
Campeche,0031M00002iHaSd,0061M00000wuItp,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,0,5050,5050,5050,0,30,1,2,5050,0,0,1,13,1,100,100,3,Escarcega ILUCentro
Campeche,0031M00002iHRse,0061M00000zgYRW,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,0,900,900,900,0,30,1,2,900,0,0,1,4,1,100,100,3,Escarcega ILUCentro
Campeche,0031M00002iHRse,0061M00000wuGps,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,25,11890,11890,11890,0,30,1,2,11890,0,0,1,13,1,100,100,3,Escarcega ILUCentro
Campeche,0031M00002gjFEs,0061M00000vtH7U,ILUMEXICO Financiador,Vendido,Moroso Perdido,Moroso,100,14000,14000,14000,0,30,3,4,10000,4000,4000,3,17,1,71.43,71.43,0,Escarcega ILUCentro
Campeche,0031M00002gk7FR,0061M00000xxoHE,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,25,750,750,750,0,30,1,2,750,0,0,1,11,1,100,100,3,Escarcega ILUCentro
Campeche,0031M00002gjg3b,0061M00000vtKaz,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,200,53480,53480,53480,0,30,1,2,53480,0,0,1,17,1,100,100,3,Escarcega ILUCentro
Campeche,0031M00002gwEx4,0061M00000vuQZa,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,0,3500,3700,1500,366.67,30,6,10,3700,0,0,6,16,8,100,100,1,Escarcega ILUCentro
Campeche,0031M00002gkiDY,0061M00000vtgYz,ILUMEXICO Financiador,Vendido,Moroso Perdido,Deudor PAR 60,0,800,800,800,0,30,1,2,0,800,800,1,17,0,0,0,0,Escarcega ILUCentro
Campeche,0031M00002gwXx8,0061M00000zeQgL,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,0,3500,3500,3500,0,30,1,2,3500,0,0,1,5,1,100,100,3,Escarcega ILUCentro
Campeche,0031M00002gwXx8,0061M00000wrJxz,ILUMEXICO Financiador,Vendido,Moroso Perdido,Deudor PAR 60,0,7000,7000,7000,0,30,1,2,0,7000,7000,1,16,0,0,0,0,Escarcega ILUCentro
Campeche,0031600002dGHQE,0061M00000vuQbM,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,0,1400,1400,1400,0,30,1,2,1400,0,0,1,16,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002dGHQE,0061600000v6Gq2,ILUMEXICO Financiador,Vendido,Moroso Perdido,Deudor PAR 60,135,13930,13930,3500,3476.67,30,3,4,6500,7430,7430,3,21,2,46.66,46.66,0,Escarcega ILUCentro
Campeche,0031600002dG2jD,0061600000v6ByX,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,25,8000,8000,4000,1333.33,30,3,5,8000,0,0,3,21,5,100,100,1,Escarcega ILUCentro
Campeche,0031600002ShcEr,0061600000ohNb6,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,50,4300,4300,1300,1000,30,3,4,4300,0,0,3,33,4,100,100,2,Escarcega ILUCentro
Campeche,0031600002SetFh,0061600000ogmY6,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,200,22500,22500,22500,0,30,1,2,22500,0,0,1,33,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002Sf3yM,0061600000ogonr,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,25,8063,8063,8063,0,30,1,2,8063,0,0,1,33,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002ShRt6,0061600000ohNrr,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,0,330,330,330,0,30,1,2,330,0,0,1,33,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002ShRt6,0061600000ohLYZ,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,25,7700,7700,7700,0,30,1,2,7700,0,0,1,33,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002SgExD,0061M00000xWPEt,ILUMEXICO Financiador,Vendido,Cobrando,Deudor PAR 60,0,1100,1100,1100,0,30,1,2,0,1100,1100,1,6,0,0,0,0,Escarcega ILUCentro
Campeche,0031600002SgExD,0061600000pdMib,ILUMEXICO Financiador,Vendido,Moroso Perdido,Moroso,25,9597,9597,9597,0,30,3,4,5785,3812,3812,3,32,1,60.28,60.28,0,Escarcega ILUCentro
Campeche,0031600002SgExD,0061600000oh7dS,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,0,6745,6745,1800,1648.33,30,3,4,6745,0,0,3,33,3,100,100,2,Escarcega ILUCentro
Campeche,0031600002ShmqS,0061600000ohRTB,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,0,2750,2750,2750,0,30,1,2,2750,0,0,1,33,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002Shbj5,0061600000ohNUL,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,0,2100,2100,2100,0,30,1,2,2100,0,0,1,33,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002T9pTP,0061600000ohfAq,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,200,19300,19300,19300,0,30,1,2,19300,0,0,1,33,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002TAY9p,0061600000ryfse,ILUMEXICO Financiador,Vendido,Cobrando,Moroso,50,17140,17140,2000,841.11,30,18,22,6200,10940,10940,18,24,12,36.17,36.17,0,Escarcega ILUCentro
Campeche,0031600002UibkR,0061600000py37R,ILUMEXICO Financiador,Vendido,Moroso Perdido,Deudor PAR 60,25,4200,3600,600,333.33,30,9,10,3070,530,530,9,31,7,85.28,85.28,0,Escarcega ILUCentro
Campeche,0031600002UiceP,0061600000py3TA,ILUMEXICO Financiador,Cancelado,Moroso Perdido,Moroso,25,3200,3600,900,300,30,9,10,900,2700,2700,9,31,1,25,25,0,Escarcega ILUCentro
Campeche,0031600002TU88k,0061600000pMI4B,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,80,4630,4630,1550,1026.67,30,3,4,4630,0,0,3,32,3,100,100,3,Escarcega ILUCentro
Campeche,0031600002TAYAi,0061M000011FzSh,ILUMEXICO Financiador,Vendido,Cobrando,Cr_dito Sano,0,57840,57840,0,1205,30,48,48,3000,54840,-3000,48,0,1,5.19,100,No Disponible,Escarcega ILUCentro
Campeche,0031600002TAYAi,0061M00000wTAdI,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,300,14500,14500,6000,708.33,30,12,61,14500,0,0,12,12,4,100,100,2,Escarcega ILUCentro
Campeche,0031600002TAYAi,0061M00000vtBLL,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,0,2000,2000,500,500,30,3,4,2000.03,-0.03,-0.03,3,17,3,100,100,1,Escarcega ILUCentro
Campeche,0031600002TAYAi,0061600000ry1Rd,ILUMEXICO Financiador,Pagado,Pagado,Deudor PAR 60,50,8900,8900,2500,533.33,30,12,13,8899.91,0.09,0.09,12,25,8,100,100,1,Escarcega ILUCentro
Campeche,0031600002TTVfm,0061600000pLz2j,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,0,360,360,360,0,30,1,2,360,0,0,1,32,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002TTVfm,0061600000pLxe4,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,0,1880,1880,1880,0,30,1,2,1880,0,0,1,32,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002TAWaN,0061600000ohzPR,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,25,3600,3600,600,333.33,30,9,10,3600,0,0,9,32,5,100,100,1,Escarcega ILUCentro
Campeche,0031600002TU5sT,0061600000qjX9y,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,0,400,400,400,0,30,1,2,400,0,0,1,28,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002TU5sT,0061600000pMH9R,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,0,5220,5220,5220,0,30,1,2,5220,0,0,1,32,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002UEzdn,0061600000peMHS,ILUMEXICO Financiador,Vendido,Moroso Perdido,Deudor PAR 60,50,5100,5100,2070,1515,30,2,3,4570,530,530,2,31,2,89.61,89.61,0,Escarcega ILUCentro
Campeche,0031M00002f0Rb3,0061M00000vDhPp,ILUMEXICO Financiador,Vendido,Moroso Perdido,Deudor PAR 60,0,3300,3300,3300,0,30,1,2,0,3300,3300,1,18,0,0,0,0,Escarcega ILUCentro
Campeche,0031M00002f0Rb3,0061M00000vDBKV,ILUMEXICO Financiador,Vendido,Moroso Perdido,Deudor PAR 60,0,9200,9200,9200,0,15,1,2,3300,5900,5900,0.5,18,1,35.87,35.87,0,Escarcega ILUCentro
Chiapas,0031600002UDacB,0061600000pdWMQ,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,0,4000,4000,4000,0,30,1,2,4000,0,0,1,32,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002UG2W0,0061M00000wt3uD,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,0,1550,1550,1550,0,30,1,2,1550,0,0,1,14,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002UG2W0,0061600000pf8ov,ILUMEXICO Financiador,Vendido,Moroso Perdido,Deudor PAR 60,25,18760,18760,14095,1555,30,3,4,14095,4665,4665,3,31,1,75.13,75.13,0,Escarcega ILUCentro
Campeche,0031600002akG0v,0061600000tUqQZ,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,0,1400,1400,1400,0,30,1,2,1400,0,0,1,23,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002akG4n,0061600000tUPub,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,100,14000,14000,8000,3000,30,2,3,14000,0,0,2,23,3,100,100,3,Escarcega ILUCentro
Campeche,0031600002UGGDw,0061600000pfJtQ,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,50,14510,14510,14510,0,30,1,2,14510,0,0,1,31,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002KkBgI,0061600000nr7MX,ILUMEXICO Financiador,Vendido,Moroso Perdido,Deudor PAR 60,0,170,170,170,0,30,1,2,57.51,112.49,112.49,1,30,1,33.83,33.83,0,Escarcega ILUCentro
Campeche,0031600002JokTN,0061M00000wrKzz,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,0,510,510,510,0,30,1,2,510,0,0,1,16,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002JokTN,0061600000n75Uh,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,0,250,250,250,0,30,1,2,250,0,0,1,37,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002FBfM1,0061600000qhvkW,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,25,1000,1000,1000,0,30,1,2,1000,0,0,1,30,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002by79R,0061600000tW184,ILUMEXICO Financiador,Cancelado,Moroso Perdido,Deudor PAR 60,25,4500,4840,1000,426.67,30,9,10,4200,640,640,9,22,5,86.78,86.78,0,Escarcega ILUCentro
Campeche,0031600002IzSoK,0061M00000zgfcD,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,0,3500,3500,3500,0,30,1,2,3500,0,0,1,4,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002Ep23y,0061600000oiW2F,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,0,1300,1300,1300,0,30,1,2,1300,0,0,1,33,1,100,100,3,Escarcega ILUCentro
Campeche,0031600002by7a5,0061600000tW1KL,ILUMEXICO Financiador,Vendido,Moroso Perdido,Deudor PAR 60,25,10382,10382,3000,2460.67,30,3,4,3000,7382,7382,3,22,1,28.9,28.9,0,Escarcega ILUCentro
Campeche,0031600002HzOwi,0061M000010FAVq,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,0,2250,2250,2250,0,30,1,2,2250,0,0,1,3,1,100,100,3,Escarcega ILUCentro
